ano,local,autor,titulo,link
2017,Boston,Michael Sacks,With Great Power Comes Great Responsibility: The Implications of the Code We Write,https://devopsdays.org/events/2017-boston/program/michael-sacks
2017,Boston,John Sawers,Your Emotional API,https://devopsdays.org/events/2017-boston/program/john-sawers
2017,Boston,Karen Fiumara,Building a Culture of Safety: Lessons from the Front Lines,https://devopsdays.org/events/2017-boston/program/karen-fiumara
2017,Boston,Phil Lombardi,Real-World Kubernetes for DevOps,https://devopsdays.org/events/2017-boston/program/phil-lombardi
2017,Riga,Kris Buytaert,The return of the Dull Stack Engineer,https://devopsdays.org/events/2017-riga/program/kris-buytaert
2017,Riga,Chris Van Tuin,A DevOps State of Mind: Continuous Security with DevSecOps + Containers,https://devopsdays.org/events/2017-riga/program/chris-van-tuin
2017,Riga,Michiel Rook,The Road to Continuous Deployment: a case study,https://devopsdays.org/events/2017-riga/program/michiel-rook
2017,Riga,Antonio Cobo,Project Management: from Stone Age to DevOps,https://devopsdays.org/events/2017-riga/program/antonio-cobo
2017,Riga,Uldis Karlovs-Karlovskis,How to lead 100 DevOps specialists,https://devopsdays.org/events/2017-riga/program/uldis-karlovs-karlovskis
2017,Riga,Edward van Deursen,GDPR in DevOps for Dummies,https://devopsdays.org/events/2017-riga/program/edward-van-deursen
2017,Riga,Mandi Walls,Building security into your workflow with InSpec,https://devopsdays.org/events/2017-riga/program/mandi-walls
2017,Riga,"Samat Galimov, Dmitry Zakharov",Homebrew CI/CD for a startup — bumpy road ahead,https://devopsdays.org/events/2017-riga/program/samat-galimov
2017,Riga,Dmitry Buzdin,Delivery Pipeline for Windows Machines,https://devopsdays.org/events/2017-riga/program/dmitry-buzdin
2017,Riga,Michael Coté,"The Death of Enterprise Architecture: defeating the DevOps, microservices, and cloud-native assassins",https://devopsdays.org/events/2017-riga/program/michael-cote
2017,Riga,Niek Palm,Serving Docker containers in an immutable infrastructure on AWS,https://devopsdays.org/events/2017-riga/program/niek-palm
2017,Riga,Mark Smalley,Kill DevOps,https://devopsdays.org/events/2017-riga/program/mark-smalley-kill-devops
2017,Kansas City,Chloe Condon,Why You Need to Stop Using “The” Staging Server,https://devopsdays.org/events/2017-kansascity/program/chloe-condon
2017,Kansas City,Matthew Boeckman,Rewriting DevOps,https://devopsdays.org/events/2017-kansascity/program/matthew-boeckman
2017,Kansas City,Jonathan Stacks,Moving to a multi-cloud architecture,https://devopsdays.org/events/2017-kansascity/program/jonathan-stacks
2017,Kansas City,Julie Stark,Adventures in Programming,https://devopsdays.org/events/2017-kansascity/program/julie-stark
2017,Kansas City,James Wickett,The Path of DevOps Enlightenment for InfoSec,https://devopsdays.org/events/2017-kansascity/program/james-wickett
2017,Kansas City,Michael Coté,Not actually a DevOps Talk,https://devopsdays.org/events/2017-kansascity/program/michael-cote
2017,Kansas City,Mark Shead,Continuous Delivery in Organizations Terrified of Risk,https://devopsdays.org/events/2017-kansascity/program/mark-shead
2017,Kansas City,Kishore Jalleda,"DevOps at Scale is a Hard Problem: Challenges, Insights and Lessons Learned",https://devopsdays.org/events/2017-kansascity/program/kishore-jalleda
2017,Kansas City,Jyoti Mittal,When the Jenkins cried broken : Engineering trust in your automated tests,https://devopsdays.org/events/2017-kansascity/program/jyoti-mittal
2017,Kansas City,Noah Kantrowitz,Intellectual Property for Engineers,https://devopsdays.org/events/2017-kansascity/program/noah-kantrowitz
2017,Detroit,"Richard I. Cook, M.D.",Day 1 Opening Keynote,https://devopsdays.org/events/2017-detroit/program/richard-i-cook
2017,Detroit,Amin Yazdani,Psychology of Estimation: Faster is not always better,https://devopsdays.org/events/2017-detroit/program/psychology-of-estimation
2017,Detroit,Avleen Vig,Adding and retiring technologies in your stack,https://devopsdays.org/events/2017-detroit/program/adding-and-retiring-technologies
2017,Detroit,Chris Van Tuin,A DevOps State of Mind with Microservices + Containers + Kubernetes,https://devopsdays.org/events/2017-detroit/program/devops-state-of-mind
2017,Detroit,Rebecca Fitzhugh,We Should All Be Leaders,https://devopsdays.org/events/2017-detroit/program/we-should-all-be-leaders
2017,Detroit,Mike Rother,Day 2 Opening Keynote,https://devopsdays.org/events/2017-detroit/program/mike-rother
2017,Detroit,Archie Cowan,A tour of the JSTOR micro-services analytics data pipeline,https://devopsdays.org/events/2017-detroit/program/tour-of-jstor
2017,Detroit,"Gene Kim, Richard I. Cook, M.D., Mike Rother, John Willis","Devops, Safety, and Lean - Panel Discussion",https://devopsdays.org/events/2017-detroit/program/safety-and-lean
2017,Detroit,Barbara Bouldin,One Woman's Experience as the Software Industry has Evolved,https://devopsdays.org/events/2017-detroit/program/one-womans-experience
2017,Detroit,Julian Dunn,Distributed systems are hard. Distributed systems of people are harder,https://devopsdays.org/events/2017-detroit/program/distributed-systems-are-hard
2017,Auckland,Anthony Rees,DevSecOps Delight with Compliance as Code,https://devopsdays.org/events/2017-auckland/program/anthony-rees
2017,Auckland,John Bowker,Immutable SQL Server Clusters,https://devopsdays.org/events/2017-auckland/program/john-bowker
2017,Auckland,Anthony Angell,Using Bots to Scale Incident Management @ Xero,https://devopsdays.org/events/2017-auckland/program/anthony-angell
2017,Auckland,Lindsay Holmwood,"Mirror, mirror, on the wall: testing Conway’s Law in open source communities",https://devopsdays.org/events/2017-auckland/program/lindsay-holmwood
2017,Auckland,Aurynn Shaw,do-release-upgrade,https://devopsdays.org/events/2017-auckland/program/aurynn-shaw
2017,Auckland,Michael Coté,Not actually a DevOps Talk,https://devopsdays.org/events/2017-auckland/program/michael-cote
2017,Auckland,Sajeewa Dayaratne,DevOps in an Embedded World,https://devopsdays.org/events/2017-auckland/program/sajeewa-dayaratne
2017,Auckland,Marcus Bristol,Moving fast without crashing,https://devopsdays.org/events/2017-auckland/program/marcus-bristol
2017,Auckland,Alison Polton-Simon,Metrics That Matter,https://devopsdays.org/events/2017-auckland/program/alison-polton-simon
2017,Auckland,Sanjeev Sharma,When DevOps met SRE: From Apollo 13 to Google SRE,https://devopsdays.org/events/2017-auckland/program/sanjeev-sharma
2017,Hartford,Heather Mickman,Transformation Approach: Unlock your Data. Platform. Culture.,https://devopsdays.org/events/2017-hartford/program/heather-mickman
2017,Hartford,Nell Shamrell-Harrington,DevOps in Politics,https://devopsdays.org/events/2017-hartford/program/nell-shamrell-harrington
2017,Hartford,Emily Freeman,Scaling Sparta: Military Lessons for Growing A Dev Team,https://devopsdays.org/events/2017-hartford/program/emily-freeman
